author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
Lynn H. Loomis	Paul Bernays. A system of axiomatic set theory. Parts II–V. The journal of symbolic logic, vol. 6 (1941), pp. 1–17; vol. 7 (1942), pp. 65-89, 133-145; and vol. 8 (1943), pp. 89-106.	1944	9	3	74-75	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Max Black	Hans Reichenbach. Bertrand Russell's logic. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 21–54.	1944	9	3	76-77	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	W. T. Stace. Positivism. Mind, n. s. vol. 53 (1944), pp. 215–237.	1944	9	3	76-76	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	James Feibleman. A reply to Bertrand Russell's introduction to the second edition of The principles of mathematics. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 155–174.	1944	9	3	77-78	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Morris Weitz. Analysis and the unity of Russell's philosophy. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 55–121.	1944	9	3	77-77	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	G. E. Moore. Russell's “theory of descriptions.”The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 175–225.	1944	9	3	78-78	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Max Black. Russell's philosophy of language. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 227–255.	1944	9	3	78-79	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Ernest Nagel. Russell's philosophy of science. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 317–349.	1944	9	3	79-80	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Andrew Paul Ushenko. Russell's critique of empiricism. The philosophy of Bertrand Russell, edited by Paul Arthur Schilpp, Northwestern University, Evanston and Chicago1944, pp. 385–417.	1944	9	3	80-82	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1944	9	3	82-83	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	Notice of a meeting of the Association for Symbolic Logic	1944	9	3	83-83	meeting/bibliographical notice	editorial/association apparatus				metadata only; full text not reached
	List of officers and members of the Association for Symbolic Logic	1944	9	3	84-88	association record	editorial/association apparatus				metadata only; full text not reached
	JSL volume 9 issue 3 Cover and Front matter and Errata	1944	9	3	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Frederic B. Fitch	A minimum calculus for logic	1944	9	4	89-94	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Carl G. Hempel	C. D. Broad. Hr. von Wright on the logic of induction. Mind, n.s. vol. 53 (1944), pp. 1–24, 97–119, 193–214.	1944	9	4	95-96	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
H. E. Vaughan	J. C. C. McKinsey and Alfred Tarski. The algebra of topology. Annals of mathematics, ser. 2 vol. 45 (1944), pp. 141–191.	1944	9	4	96-97	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	J. C. C. McKinsey. On the number of complete extensions of the Lewis systems of sentential calculus. The journal of symbolic logic, vol. 9 (1944), pp. 42–45.	1944	9	4	96-96	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	A. Ushenko. Undecidable statements and metalanguage. Mind, n.s. vol. 53 (1944), pp. 258–262.	1944	9	4	97-98	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Alfred L. Foster and B. A. Bernstein. Symmetric approach to commutative rings, with duality theorem: Boolean duality as a special case. Duke mathematical journal, vol. 11 (1944), pp. 603–616.	1944	9	4	97-97	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Heinrich Scholz. Leibniz und die mathemalische Grundlagenforschung. Jahresbericht der Deutschen Mathematiker-Vereinigung, vol. 52 (1942), pp. 217–244.	1944	9	4	98-99	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Hermann Weyl. David Hilbert and his mathematical work. Bulletin of the American Mathematical Society, vol. 50 (1944), pp. 612–654.	1944	9	4	98-98	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	René Poirier. Le nombre. F. Alcan, Paris1938, 184 pp.	1944	9	4	99-100	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Morton G. White	Reviews - Otto Neurath. Foundations of the social sciences. International encyclopedia of unified science, vol. 2, no. 1. The University of Chicago Press, Chicago1944, iii + 51 pp.	1944	9	4	100-101	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. Treviño García	Hans A. Lindbmann. El “Circulo de Viena” y la filosofia cientifica. Minerva (Buenos Aires), año 1 vol. 1 no. 2 (1944), pp. 123–151.	1944	9	4	101-102	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Arthur Pap. The different kinds of a priori. The philosophical review, vol. 53 (1944), pp. 465–484.	1944	9	4	102-103	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	George V. Gentry. Some comments on Morris's “class” conception of the designatum. The journal of philosophy, vol. 41 (1944), pp. 376–384.	1944	9	4	102-102	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Harold R. Smart. The alleged predicament of logic. The journal of philosophy, vol. 41 (1944), pp. 598–604.	1944	9	4	103-103	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
George D. W. Berry	Gustav Bergmann. Pure semantics, sentences, and propositions. Mind, n.s. vol. 53 (1944), pp. 238–257.	1944	9	4	104-104	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Max Black. The “paradox of analysis.”Mind, n.s. vol. 53 (1944), pp. 263–267.	1944	9	4	104-105	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Nelson Goodman	Felix E. Oppenheim. Outline of a logical analysis of law. Philosophy of science, vol. 11 (1944), pp. 142–160.	1944	9	4	105-106	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	P. R. Halmos. The foundations of probability. The American mathematical monthly, vol. 51 (1944), pp. 493–510.	1944	9	4	106-106	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1944	9	4	106-107	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	A meeting of the Association for Symbolic Logic	1944	9	4	107-107	meeting report	editorial/association apparatus				metadata only; full text not reached
	JSL volume 9 issue 4 Cover and Front matter and Errata	1944	9	4	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
W. V. Quine	On the logic of quantification	1945	10	1	1-12	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Raouf Doss	Note on two theorems of Mostowski	1945	10	1	13-15	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Alonzo Church	Ernest Nagel. Logic without ontology. Naturalism and the human spirit, edited by Yervant H. Krikorian, Columbia University Press, New York1944, pp. 210–241.	1945	10	1	16-18	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Emil L. Post. Recursively enumerable sets of positive integers and their decision problems. Bulletin of the American Mathematical Society, vol. 50 (1944), pp. 284–316.	1945	10	1	18-19	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
G. D. W. Berry	Alonzo Church. Introduction to mathematical logic. Part I. (Notes by C. A. Truesdell.) Annals of Mathematics Studies, no. 13. Lithoprinted. Princeton University Press, Princeton1944, vi + 118 pp.	1945	10	1	19-21	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Eugene P. Northrop. Riddles in mathematics. A book of paradoxes. D. Van Nostrand Company, New York1944, viii + 262 pp.	1945	10	1	21-21	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	J. O. Wisdom. Positivism. Mind, n.s. vol. 54 (1945), pp. 65–70.	1945	10	1	21-22	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	A. Ushenko. A note on the semantic conception of truth. Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 104–107.	1945	10	1	22-22	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
	DeWitt H. Parker. Knowledge by acquaintance. The philosophical review, vol. 54 (1945), pp. 1–18.	1945	10	1	22-23	bibliographical notice / unattributed review	philosophy, language, and inductive logic	review-of-record entry reached; reviewer metadata absent			metadata only; full text not reached
Frederic B. Fitch	H. R. Smart. What is deduction? English with Spanish abstract. Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 37–49.	1945	10	1	22-22	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
	Elections	1945	10	1	24-24	association record	editorial/association apparatus				metadata only; full text not reached
	Institutional contributing subscribers to the Journal	1945	10	1	24-24	association record	editorial/association apparatus				metadata only; full text not reached
	Errata	1945	10	1	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
	JSL volume 10 issue 1 Cover and Front matter	1945	10	1	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Olaf Helmer; Paul Oppenheim	A syntactical definition of probability and of degree of confirmation	1945	10	2	25-60	primary technical publication	philosophy, language, and inductive logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
	Errata	1945	10	2	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
	JSL volume 10 issue 2 Cover and Front matter	1945	10	2	f1-f6	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
J. B. Rosser; A. R. Turquette	Axiom schemes for m -valued propositions calculi	1945	10	3	61-82	primary technical publication	propositional, many-valued, and modal logic				metadata only; full text not reached
J. C. C. Mckinsey	On the syntactical construction of systems of modal logic	1945	10	3	83-94	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
W. V. Quine	On ordered pairs	1945	10	3	95-96	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Carl G. Hempel	Reviews - Hans Reichenbach. Philosophic foundations of quantum mechanics. University of California Press, Berkeley and Los Angeles1944, x + 182 pp.	1945	10	3	97-100	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Evert W. Beth	R. Feys. Logistiek, geformaliseerde logica. I. Algemeen overzicht. Propositie- en klassenlogica. (Logistic as formalized logic. I. General survey. Logic of propositions and of classes.) Philosophische bibliotheek. Standaard-Boekhandel, Antwerp; Dekker & van de Vegt, Nijmegen; 1944, 340 pp.	1945	10	3	100-101	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	H. R. Smart. Frege's logic. The philosophical review, vol. 54 (1945), pp. 489–505.	1945	10	3	101-103	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Karl Menger. Algebra of analysis. Notre Dame mathematical lectures, no. 3. Lithoprinted. University of Notre Dame, Notre Dame, Ind., 1944, 50 pp.	1945	10	3	103-103	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Max Black	C. H. Whiteley. Hempel's paradoxes of confirmation. Mind, n. s. vol. 54 (1945), pp. 156–158.	1945	10	3	104-104	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Karl Menger. Tri-operational algebra. Reports of a mathematical colloquium, issue 5-6 (1944), pp. 3–10. - Ferdinand L. Brown. Remarks concerning tri-operational algebra. Reports of a mathematical colloquium, issue 5-6 (1944), pp. 11–15. - Carl G. Hempel. Studies in the logic of confirmation. Mind, n.s. vol. 54 (1945), pp. 1–26, 97-121.	1945	10	3	104-104	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Hugo Ribeiro	R. L. Goodstein. On the restricted ordinal theorem. The journal of symbolic logic, vol. 9 (1944), pp. 33–41.	1945	10	3	104-105	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	R. P. Dilworth. Lattices with unique complements. Transactions of the American Mathematical Society, vol. 57 (1945), pp. 123–154.	1945	10	3	104-104	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Rudolf Carnap. Hall and Bergmann on semantics. Mind, n. s. vol. 54 (1945), pp. 148–155.	1945	10	3	104-104	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Ernest Nagel. Truth and knowledge of the truth. Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 50–68.	1945	10	3	105-106	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Charles A. Baylis. Critical comments on the “Symposium on meaning and truth.”Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 80–93.	1945	10	3	106-107	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Felix Kaufmann. Concerning Mr. Nagel's critical comments. Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 69–74.	1945	10	3	106-106	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	C. J. Ducasse. Facts, truth, and knowledge. Philosophy and phenomenological research, vol. 5 no. 3 (1945), pp. 320–332.	1945	10	3	107-107	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Ernest Nagel. Rejoinder to Mr. Kaufmann's reply. Philosophy and phenomenological research, vol. 5 no. 1 (1944), pp. 75–79.	1945	10	3	107-108	bibliographical notice / unattributed review	philosophy, language, and inductive logic	review-of-record entry reached; reviewer metadata absent			metadata only; full text not reached
	Errata	1945	10	3	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
	JSL volume 10 issue 3 Cover and Front matter	1945	10	3	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
S. C. Kleene	On the interpretation of intuitionistic number theory	1945	10	4	109-124	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Raphael M. Robinson	Finite sequences of classes	1945	10	4	125-126	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Paul Bernays	Reviews - Oiva Ketonen. Untersuchungen zum Prädikatenkalkul.Annales Academiae Scientiarum Fennicae, series A, I. Mathematica-physica 23. Helsinki1944, 71 pp.	1945	10	4	127-130	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
