author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
A. R. Turquette	Frederic B. Fitch. Intuitionistic modal logic with quantifiers. Portugaliae mathematica, vol. 7 no. 2 (for 1948, pub. 1949), pp. 113–118.	1950	14	4	261-261	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Bolesław Sobociński	J. Ridder. Über mehrwertige Aussagenkalküle und mehrwertige engere Prädikatenkalküle. II–III. Koninhlijke Nederlandsche Akademie van Wetenschappen, Proceedings of the section of sciences, t. 51 (1948), pp. 836–845 et 991–995; aussi Indagationes mathematicae, t. 10 (1948), pp. 264–273 et 324–328.	1950	14	4	261-262	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
A. R. Turquette	Tzu-Hua Hoo. m-valued sub-system of (m+n)-valued propositional calculus. The journal of symbolic logic, vol. 14 (1949), pp. 177–181.	1950	14	4	261-261	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Alfons Borgers	L. E. J. Brouwer. Contradictoriteit der elementaire meetkunde (Contradictoriness of elementary geometry). Koninhlijke Nederlandsche Akademie van Wetenschappen, Proceedings of the section of sciences vol. 52 (1949), pp. 315–316; also ibid., vol. 11 (1949), pp. 89–90.	1950	14	4	262-263	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
I. M. Bocheński	Antoni Korcik. Teoria sylogizmu zdań asertorycznych u Arystotelesa na tie logiki tradycyjnej. Studium historyczno-krytyczne. (The theory of the syllogism of assertoric propositions in Aristotle against the background of traditional logic. A historical and critical study.) Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego. Rozprawy Wydziału Historyczno-Filozoficznego, Sekcja filozoficzne, no. 2. Lublin 1948, 88 pp.	1950	14	4	263-264	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
I. M. Bocheński	Kazimierz Kłósak. Teoria indeterminizmu ontologicznego a trójwartościowa logika zdań prof. Jana Łukasiewcza (The theory of ontological indeterminism and the three-valued logic of propositions of Prof. Jan Łukasiewicz). Ateneum Kaplanskie, vol. 49 (1948), pp. 209–320. - Kazimierz Kłósak. Konieczność wyjścia poza logikę dwuwartościową (The necessity of going beyond the two-valued logic). Ateneum Kaplanskie vol. 50 (1949), pp. 105–116.	1950	14	4	263-263	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
I. M. Bocheński	Benson Mates. Diodorean implication. The philosophical review, vol. 58 (1949), pp. 234–242.	1950	14	4	264-264	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
I. M. Bocheński	Ludovico Geymonat. Studi per un nuovo razionalismo. Chiantore, Turin1945, X + 349 pp.	1950	14	4	264-264	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Henryk Greniewski	Antoni Korcik. Gottlob Frege jako twórca pierwszego systemu aksjomatycznego współczesnej logiki zdań (Gottlob Frege, auteur du premier système axiomatique de la logique contemporaine des propositions). Roczniki filozoficzne, vol. 1 (1948), pp. 138–164. French abstract, ibid., p. 322.	1950	14	4	265-265	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Robert Feys	I. M. Bocheński. On analogy. The Thomist, vol. 11 (1948), pp. 424–447.	1950	14	4	265-266	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Robert Feys	André Darbon. La philosophie des Mathématiques. Etude sur la logistique de Russell. Presses Universitaires de France, Paris1949, xii + 203 pp.	1950	14	4	266-266	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Robert Feys	Filippo Selvaggi. Dalla filosofia alla tecnica (La logica del potenziamento). Università Gregoriana, Rome1947 xii + 269 pp.	1950	14	4	266-266	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Robert Feys	Marcel Boll. Eléments de logique scientifique. Dunod, Paris, 1942, vii + 243 pp. - Marcel Boll. Manuel de logique scientifique. Remplaçantet complétant les Eléments de logique scientifique 1942. Dunod, Paris1948, ix + 544 pp.	1950	14	4	266-267	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
	Index of reviews Volumes XIII, XIV	1950	14	4	268-283	bibliographical notice / unattributed review	unclassified from title metadata	review-of-record entry reached; reviewer metadata absent			metadata only; full text not reached
	Association for symbolic logic	1950	14	4	284-284	bibliographical notice / unattributed review	general mathematical logic	review-of-record entry reached; reviewer metadata absent			metadata only; full text not reached
	Errata	1950	14	4	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
	JSL volume 15 issue 1 Cover and Front matter and Errata	1950	15	1	f1-f6	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Yehoshua Bar-Hillel	On syntactical categories	1950	15	1	1-16	primary technical publication	philosophy, language, and inductive logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Frederic B. Fitch	A demonstrably consistent mathematics—Part I	1950	15	1	17-24	primary technical publication	proof theory and formal systems		technical-depth potentially sufficient		page-verified complete local full text
Hao Wang	A formal system of logic	1950	15	1	25-32	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Wilhelm Ackermann	Widerspruchsfreier Aufbau der Logik I	1950	15	1	33-57	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		page-verified complete local full text
Alonzo Church	G. H. v. Wright. On the idea of logical truth (I). Societas Scientarum Fennica, Commentationes physico-mathematicae, vol. 14 no. 4. Helsingfors1948, 20 pp. - G. H. von Wright. Form and content in logic. An inaugural lecture delivered on 26 May 1949 in the University of Cambridge. University Press, Cambridge1949, 35 pp.	1950	15	1	58-59	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	D. Hilbert and W. Ackermann. Grundzüge der theoretischen Logik. Die Grundlehren der mathematischen Wissenschaften in Einzeldarstellungen, vol. 27. 3rd edn., Springer-Verlag, Berlin-Göttingen-Heidelberg1949, VIII + 155 pp.	1950	15	1	59-59	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Garrett Birkhoff. Lattice theory. Revised edition. American Mathematical Society Colloquium publications, vol. 25. American Mathematical Society, New York1948, xiii + 283 pp.	1950	15	1	59-60	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Karl Menger. Are variables necessary in calculus?The American mathematical monthly, vol. 56 (1949), pp. 609–620.	1950	15	1	61-61	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Katsumi Nakamura. Ronrigaku risetsu—Kagahuronrigahu ni totte—(The theory of logic—A contribution to scientific logic—). Baihukan, Tokyo1942, 3 + 280 pp. - Katsumi Nakamura. Zum logistischen Gestaltbegriffe. Appendix to the foregoing, pp. 257–280.	1950	15	1	61-62	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Kurt Grelling and Paul Oppenheim. Der Gestaltbegriff im Lichte der neuen Logik. Erkenntnis, vol. 7 (1937–1939), pp. 211–225. - Kurt Grelling and Paul Oppenheim. Supplementary remarks on the concept of gestall. Erkenntnis, vol. 7 (1937–1939), pp. 357–359.	1950	15	1	61-61	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	John E. Freund. Statistical vs. pragmatic inference. Philosophy of science, vol. 16 (1949), pp. 142–147. - Thomas A. Cowan. A note on Churchman's “Statistics, pragmatics, induction.”Philosophy of science, vol. 16 (1949), pp. 148–150. - C. West Churchman. Reply to comments on “Statistics, pragmatics, induction.”Philosophy of science, vol. 16 (1949), pp. 151–153.	1950	15	1	62-63	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Uuno Saarnio. Über die Konverse der Relation. Ajatus (Helsinki), vol. 15 (for 1948, pub. 1949), pp. 167–176.	1950	15	1	62-62	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Benson Mates. Stoic logic and the text of Sextus Empiricus. American journal of philology (Baltimore), vol. 70 (1949), pp. 290–298.	1950	15	1	63-64	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Frederic B. Fitch. The problem of the Morning Star and the Evening Star. Philosophy of science, vol. 16 (1949), pp. 137–141.	1950	15	1	63-63	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	L. Jonathan Cohen. Are philosophical theses relative to language?Analysis (Oxford), vol. 9 no. 5 (1949), pp. 72–77.	1950	15	1	63-63	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Jan Kalicki	Andrzej Grzegorczyk. Próba ugruntowania semantyki jezyka opisowego (An essay at founding the semantics of a descriptive language). Przeglqd filozoficzny, vol. 44 (1948), pp. 348–371.	1950	15	1	64-65	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Bolesław Sobociński. An investigation of protothetic. Cahiers de l'Institut d'Études Polonaises en Belgique, no. 5. Polycopié. Institut d'Etudes Polonaises en Belgique, Brussels1949, V + 44 pp.	1950	15	1	64-64	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Inocenty M. Bocheński. Stan i potrzeby hislorii logiki formalnej (The condition and the needs of the history of formal logic). Przeglqd filozoficzny, vol. 41 (1948), pp. 389–394.	1950	15	1	64-64	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Adam Wiegner. Elementy logiki formalnej (Elements of formal logic). Księgarnia Akademicka, Poznań1948, 180 pp.	1950	15	1	65-66	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Tadeusz Kotarbiński. Przeglqd problematyki logiczno-semantycznej (A review of logico-semantical problems). Łódzkie Towarzystwo Naukowe, Sprawozdania z czynności i posiedzeń, vol. 2 (1947), pp. 46–53.	1950	15	1	65-65	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	A. A. Markov. O prédstavlènii rékursivnyh funkcij (On the representation of recursive functions). Izvéstiá Akadémii Nauk SSSR, Sériá matématičeskaá, vol. 13 (1949), pp. 417–424.	1950	15	1	66-66	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
E. W. Beth	Alfons Borgers. Het natuurlijke getal (The natural number). Simon Stevin (Groningen-Batavia-Ghent), vol. 26 (1948–1949), pp. 32–73.	1950	15	1	66-67	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Roman Suszko. W sprawie logiki bez aksjomatów (Concerning logic without axioms). Kwartalnik filozoficzny, vol. 17 (1948), pp. 199–205.	1950	15	1	66-66	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	Ernst Specker. Nicht konstruktiv beweisbare Sätze der Analysis. The journal of symbolic logic, Bd. 14 (1949), S. 145–158.	1950	15	1	67-68	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Th. Skolem	Julia Robinson. Definability and decision problems in arithmetic. The journal of symbolic logic, Bd. 14 (1949), pp. 98–114.	1950	15	1	68-69	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
W. Ackermann	Leon Henkin. The completeness of the first-order functional calculus. The journal of symbolic logic, Bd. 14 (1949), 159–166.	1950	15	1	68-68	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Nathan P. Levin. Computational logic. The journal of symbolic logic, Bd. 14 (1949), pp. 167–172.	1950	15	1	69-69	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Alonzo Church; Nicholas Rescher	Z. P. Dienes. On an implication function in many-valued systems of logic. The journal of symbolic logic, Bd. 14 (1949), pp. 95–97.	1950	15	1	69-70	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
John G. Kemeny	Hao Wang. On Zermelo's and von Neumann's axioms for set theory. Proceedings of the National Academy of Sciences of the United States of America, vol. 35 (1949), pp. 150–155.	1950	15	1	70-71	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Sören Halldén. An analogy in modal logic to the Lesniewski-Mihailescu theorem. Norsk matematisk tidsskrift, vol. 31 (1949), pp. 4–9.	1950	15	1	70-70	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
A. R. Turquette	Sören Halldén. Results concerning the decision problem of Lewis's calculi S3 and S6. The journal of symbolic logic, Bd. 14 (1949), pp. 230–236.	1950	15	1	70-70	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
A. R. Turquette	Karl Egil Aubert. Relations généralisées et indépendence logique des notions de réflexivité, symétrie et transitivité. Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris), vol. 229 (1949), pp. 284–286.	1950	15	1	71-71	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
John G. Kemeny	R. L. Goodstein. Proof by reductio ad absurdum. The mathematical gazette, vol. 32 (1948), pp. 198–204.	1950	15	1	71-71	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Robert Feys. A simple notation for relations. Methodos (Milan), vol. 1 no. 1 (1949), pp. 79–93.	1950	15	1	71-72	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
