author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
Garrett Birkhoff	Andrzej Mostowski. Abzählbare Boolesche Körper und ihre Anwendung auf die allgemeine Metamathematik. Fundamenta mathematicae, vol. 29 (1937), pp. 34–53.	1938	3	1	47-47	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Garrett Birkhoff	A. Tarski. Ideale in den Mengenkörpern. Annales de la Société Polonaise de Mathématique, vol. 15 (for 1936, pub. 1937), pp. 186–189.	1938	3	1	47-47	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Garrett Birkhoff	M. H. Stone. Algebraic characterizations of special Boolean rings. Fundamenta mathemalicae, vol. 29 (1937), pp. 223–303.	1938	3	1	47-47	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	J. C. C. McKinsey. A condition that a first Boolean function vanish wherever a second does not. Bulletin of the American Mathematical Society, vol. 43 (1937), pp. 694–696.	1938	3	1	47-48	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Casimir Kuratowski. Les types d'ordre définissables et les ensembles boreliens. Fundamenta mathematicae, vol. 29 (1937), pp. 97–100.	1938	3	1	48-48	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Karl Menger. The new logic. Translated by H. B. Gottlieb and J. K. Senior. Philosophy of science, vol. 4 (1937), pp. 299–336.	1938	3	1	48-48	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Max Black. Vagueness. Philosophy of science. vol. 4 (1937), pp. 427–455.	1938	3	1	48-49	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Edward O. Sisson. Symbolic logic and “embedding language.”Philosophy of science, vol. 4 (1937), pp. 471–481.	1938	3	1	49-49	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Susanne K. Langer	Edward V. Huntington. The method of postulates. Philosophy of science, vol. 4 (1937), pp. 482–495.	1938	3	1	49-49	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Paul Bernays. A system of axiomatic set theory—Part I. The journal of symbolic logic, vol. 2 (1937), pp. 65–77. See Errata , The journal of symbolic logic , vol. 2 (1937), p. iv.	1938	3	1	49-49	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	B. A. Bernstein. Remark on Nicod's reduction of Principia mathematica. The journal of symbolic logic, vol. 2 (1937), pp. 165–166.	1938	3	1	50-50	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
R. Carnap	Barkley Rosser. Gödel theorems for non-constructive logics. The journal of symbolic logic, vol. 2 (1937), pp. 129–137. See Errata The journal of symbolic logic , vol. 2 (1937), p. iv.	1938	3	1	50-50	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Susanne K. Langer	Frederic B. Fitch. Modal functions in two-valued logic. The journal of symbolic logic, vol. 2 (1937), pp. 125–128.	1938	3	1	50-50	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	A. P. Ushenko. A new “Epimenides.”Mind, n.s. vol. 46 (1937), pp. 549–550.	1938	3	1	51-51	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Saunders MacLane	Alfred Tarski. O logice matematycznej i metodzie dedukcyjnej (On mathematical logic and the deductive method). Bibljoteczka matematyczna 3–5. Ksiażnica-Atlas, Lwów and Warsaw1936, 167 pp. - Alfred Tarski. Einführung in die mathematische Logik und in die Methodologie der Mathematik. German translation of the preceding. Julius Springer, Vienna1937, x+ 166 pp.	1938	3	1	51-52	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Donald L. Webb. The algebra of n-valued logic. Comptes rendus des séances de la Société des Sciences el des Lettres de Varsovie, Classe III, vol. 29 (1936–1937), pp. 153–168.	1938	3	1	52-52	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	Z. Kobrzyński. La théorie des determinants logiques. Comptes rendus des séances de la Société des Sciences el des Lettres de Varsovie, Classe III, vol. 30 (1938), pp. 75–82.	1938	3	1	52-52	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	W. V. Quine. On derivabiliiy. The journal of symbolic logic, Bd. 2 (1937), S. 113–119.	1938	3	1	53-53	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	W. V. Quine. Logic based on inclusion and abstraction. The journal of symbolic logic, Bd. 2 (1937), pp. 145–152.	1938	3	1	53-54	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Emil J. Walter. Logistik, logische Syntax und Mathematik. Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich, vol. 82 (1937), pp. 1–20.	1938	3	1	54-54	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Pius Servien. Le progrès de la métaphysique selon Leibniz et le langage des sciences. Revue philosophique de la France et de l'Étranger, vol. 124 (1937), pp. 140–154.	1938	3	1	54-55	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Eugen Gh. Mihailescu. Recherches sur l'équivalence et la réciprocité dans le calcul des propositions. Annales scientifiques de l'Université de Jassy, première partie, vol. 24 (1938), pp. 116–153.	1938	3	1	55-55	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Heinrich Scholz. Die Sonderstellung der Logik-Kalküle im Bereich der elementaren logistischen Kalkillforsckung. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 40–42.	1938	3	1	55-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Alfred Tarski. Sur la méthode déductive. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 95–103.	1938	3	1	56-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Arnaud Denjoy. La part de l'empirisme dans la logique mathématique. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 111–120.	1938	3	1	56-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Felix Kaufmann. Über den Begriff des Formalen in Logik und Mathematik. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 128–135.	1938	3	1	56-56	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	J. Cavaillès. Réflexions sur le fondement des mathématiques. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 136–139.	1938	3	1	56-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	N. A. Nikam. Quality and relation. The philosophical quarterly, vol. 12 (1936), pp. 105–118. - N. A. Nikam. On the nature of relations. The philosophical quarterly, vol. 13 (1937), pp. 35–45.	1938	3	1	56-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1938	3	1	57-58	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	Third Meeting of the Association for Symbolic Logic	1938	3	1	59-60	meeting report	editorial/association apparatus				metadata only; full text not reached
	JSL volume 3 issue 1 Cover and Back matter	1938	3	1	b1-b2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 3 issue 2 Cover and Front matter	1938	3	2	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1938	3	2	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
Józef Pepis	Ein Verfahren der mathematischen Logik	1938	3	2	61-76	primary technical publication	general mathematical logic	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		metadata only; full text not reached
C. West Churchman	On finite and infinite modal systems	1938	3	2	77-82	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Charles A. Baylis	Susanne K. Langer. An introduction to symbolic logic. Houghton Mifflin Company, Boston and New York1937; George Allen and Unwin Ltd., London 1937; 363 pp.	1938	3	2	83-83	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	D. Hilbert and W. Ackermann. Grundzüge der theoretischen Logik. Die Grundlehren der mathematischen Wissenschaften in Einzeldarstellungen, vol. 27. 2nd. edn., Julius Springer, Berlin1938, viii + 133 pp.	1938	3	2	83-84	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
William Frankena	Bruno Baron von Freytag gen. Löringhoff. Die ontologischen Grundlagen der Mathematik, Eine Untersuchung über die “mathematische Existenz.” Max Niemeyer, Halle a. S. 1937, 49 pp.	1938	3	2	84-85	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Wilhelm Ackermann. Mengentheoretische Begründung der Logik. Mathematische Annalen, vol. 115 (1937–1938), pp. 1–22.	1938	3	2	85-85	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Barkley Rosser	Felix Bernstein. The continuumproblem. Proceedings of the National Academy of Sciences, vol. 24 (1938), pp. 101–104.	1938	3	2	86-86	review	set theory and foundations	review-of-record entry reached		mechanically obvious target-line exclusion from title/metadata	metadata only; full text not reached
Barkley Rosser	Kurt Grelling. Gibt es eine Gödelsche Antinomie?Theoria, vol. 3 (1937), pp. 297–306. See also Zusäize und Berichtigungen, Theoria , vol. 4 (1938), pp. 68–69.	1938	3	2	86-86	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Caspar Nink. Der Satz vom ausgeschlossenen Dritten. Ein philosophischer Beitrag zur Grundlagenkrise der Mathematik. Scholastik, vol. 12 no. 4 (1937), pp. 552–558.	1938	3	2	87-87	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Celia Fremlin. Must we always think in propositions?Analysis, vol. 5 (1937–1938), pp. 17–27.	1938	3	2	87-87	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Ugo Cassina. Parallelo fra la logica teoretica di Hilbert e quella di Peano. Periodico di mathematiche, ser. 4 vol. 17 (1937), pp. 129–138.	1938	3	2	87-87	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Evert Beth. Wiskunde, logica en natuurphilosophie op het Congrès-Descartes (Mathematics, logic, and philosophy of science at the Congrès-Descartes). Algemeen Nederlands tijdschrift voor wijsbegeerte en psychologie, vol. 31 (1937–1938), pp. 130–142.	1938	3	2	87-88	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Ch. Perelman. L'équivalence, la définition et la solution du paradoxe de Russell. L'Enseignement mathématique, vol. 36 (1937–1938), pp. 350–356.	1938	3	2	88-88	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Barkley Rosser	W. V. Quine. On Cantor's theorem. The journal of symbolic logic, vol. 2 (1937), pp. 120–124.	1938	3	2	88-88	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	M. Black. The relevance of mathematical philosophy to the teaching of mathematics. The mathematical gazette, vol. 22 (1938), pp. 149–163.	1938	3	2	88-89	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	A. M. Turing. Computability and λ-definability. The journal of symbolic logic, Bd. 2 (1937), S. 153–163.	1938	3	2	89-89	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	L. Locher. Die Finsler'schen Arbeiten zur Grundlegung der Mathematik. Commentarii mathematici Helvetici, vol. 10 (1937–1938), pp. 206–207.	1938	3	2	89-90	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Albert Hofstadter. On semantic problems. The journal of philosophy, vol. 35 (1938), pp. 225–232.	1938	3	2	90-90	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Edmund C. Berkeley. Boolean algebra (the technique for manipulating “and,” “or,” “not,” and conditions) and applications to insurance. The record of the American Institute of Actuaries, vol. 26 part II no. 54 (1937), pp. 373–414.	1938	3	2	90-90	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Makoto Itô	Tomoharu Hirano. Die kontradiklorische Logik. Tôkyô Buturigakkô-zassi, vol. 45 (1936), pp. 261–264.	1938	3	2	90-90	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Saunders MacLane	M. H. Stone. Topological representations of distributive lattices and Brouwerian logics. Časopis pro pěsiování matematiky a fysiky, vol. 67 (1937–1938), pp. 1–25.	1938	3	2	90-91	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Barkley Rosser	Jirô Hirano. Zum Zerlegungssatz im erweiterten einstelligen Prädikatenkalkül. Proceedings of the Physico-mathematical Society of Japan, 3 s. vol. 19 (1937), pp. 395–412.	1938	3	2	91-91	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Carl G. Hempel. A purely topological form of non-Aristotelian logic. The journal of symbolic logic, vol. 2 (1937), pp. 97–112.	1938	3	2	91-92	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	A. J. Ayer, C. H. Whiteley, M. Black. Truth by convention: a symposium. Analysis, vol. 4 (1936–1937), pp. 17–22, 22 28, 28–32.	1938	3	2	92-93	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Archie Blake. Canonical expressions in Boolean algebra. Dissertation Chicago 1937. Lithographed. The University of Chicago Libraries, Chicago1938, ii + 60 pp.	1938	3	2	93-93	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Leon Chwistek. La sémantique rationnelle et ses applications. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 77–81.	1938	3	2	93-94	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	A. Fraenkel. Discontinu et continu. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 193–200.	1938	3	2	94-94	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Barkley Rosser	Gerhard Gentzen. Unendlichkeitsbegriff und Widerspruchsfreiheit der Mathematik. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 201–205.	1938	3	2	94-94	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Paul Bernays. Thesen und Bemerkungen tu den philosophischen Fragen und zur Situation der logisch-mathematischen Grundlagenforschung. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 104–110.	1938	3	2	94-94	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1938	3	2	94-96	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	Notice of a meeting of the Association	1938	3	2	96-96	meeting/bibliographical notice	editorial/association apparatus				metadata only; full text not reached
	JSL volume 3 issue 2 Cover and Back matter	1938	3	2	b1-b2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
K. Reach	The name relation and the logical antinomies	1938	3	3	97-111	primary technical publication	model theory and semantics	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		metadata only; full text not reached
Archie Blake	Corrections to Canonical expressions in Boolean algebra	1938	3	3	112-113	correction	algebraic logic				metadata only; full text not reached
Carl G. Hempel	Hans Reichenbach. Let fondements logiques du calcul des probabilités. Annulet de l'Institut Henri Poincaré, vol. 7 (1937), pp. 267–348.	1938	3	3	114-115	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alfred Tarski	Andrzej Mostowski. O niezalezności definicji skończoności w systemie logiki (On the independence of the definitions of finiteness in a system of logic). Dodatek do Rocznika Polskiego Towarzystwa Matematycinego (supplement to the Annales de la Société Polonaise de Mathématique ), vol. 11 (1938), pp. 1–54.	1938	3	3	115-116	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Alfred Errera. Sur les démonstrations de non-contradiction. Travaux du IX e Congrès International de Philosophic, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 121–127.	1938	3	3	116-116	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Jacques Picard. Les normes formelles du raisonnement déductif. Revue de métaphysique et de morale, vol. 45 (1938), pp. 213–254.	1938	3	3	116-117	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Orrin FrinkJr., New algebras of logic. The American mathematical monthly, vol. 45 (1938,), pp. 210–219.	1938	3	3	117-118	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Gr. C. Moisil. Sur le syllogisme hypothétique dans la lopique intuitioniste.Journal de mathématiques pures et appliquées, ser. 9 vol. 17 (1938), pp. 197–202.	1938	3	3	118-118	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Jerzy Kuczyński. O twierdzeniu Gödla (Über den Satz von Gödel). Polnisch mit französischer Zusammenfassung. Kwartalnik filozoficzny, Bd. 14 (1938), S. 74–80.	1938	3	3	118-118	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	W. V. Quine. Completeness of the propositional calculus. The journal of symbolic logic, Bd. 3 (1938), S. 37–40.	1938	3	3	118-119	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Barkley Rosser	Hans Hermes. Eine Axiomatisierung der allgemeinen Mechanik. Forechungen zur Logik und zur Grundlegung der exakten Wissenschaften, new series, vol. 3. S. Hirzel, Leipzig1938, 48 pp.	1938	3	3	119-120	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
S. K. Langer	I. M. Bocheński. Notes historiques sur les propositions modales. Revue des science philosophiques et théologiques (Paris), vol. 26 (1937), pp. 673–692.	1938	3	3	120-120	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	R. Feys. Les logiques nouvelles des modalités. Revue néoscolastique de philotophie, vol. 40 (1937), pp. 517–553, and vol. 41 (1938), pp. 217–252.	1938	3	3	120-120	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	L. Chwistek and W. Hetper. New foundation of formal metamathematics. The journal of symbolic logic, vol. 3 (1938), pp. 1–36.	1938	3	3	120-121	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Jirô Hirano. Einige Bermerkungen zum v. Neumannschen Axiomensystem der Mengenlehre. Proceedings of the Physico-mathematical Society of Japan, 3 s. vol. 19 (1937), pp. 1027–1045.	1938	3	3	121-122	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1938	3	3	122-124	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 3 issue 4 Cover and Front matter	1938	3	4	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1938	3	4	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
W. V. Quine	On the theory of types	1938	3	4	125-139	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Frederic B. Fitch	The consistency of the ramified Principia	1938	3	4	140-149	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		metadata only; full text not reached
S. C. Kleene	On notation for ordinal numbers	1938	3	4	150-155	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Susanne K. Langer	Bertband Russell. The principles of mathematics. 2nd edn., George Allen & Unwin, London1937; W. W. Norton & Company, New York 1938; xxxix + 534 pp.	1938	3	4	156-157	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Bertrand Russell. On the importance of logical form. Encyclopedia and unified science, International encyclopedia of unified science, vol. 1, no. 1, The University of Chicago Press, Chicago1938, pp. 39–41. - Rudolf Carnap. Logical foundation* of the unity of science. Encyclopedia and unified science, International encyclopedia of unified science, vol. 1, no. 1, The University of Chicago Press, Chicago1938, pp. 42–62.	1938	3	4	157-158	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Charles W. Morris. Foundations of the theory of signs. International encyclopedia of unified science, vol. 1, no. 2. The University of Chicago Press, Chicago1938, vii + 59 pp.	1938	3	4	158-158	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	A. M. MacIver. Some questions about “know” and “think.”Analysis, vol. 5 (1937–1938), pp. 43–50.	1938	3	4	158-159	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Heinrich Scholz. Die mathematische Logik und die Metaphysik. Philosophisches Jahrbuch der Görres-Gesellschaft, vol. 51 (1938), pp. 257–291.	1938	3	4	159-160	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Józef Pepis. Untersuchungen über das Entscheidungsproblem der mathematischen Logik. Fundamenta mathematicae, vol. 30 (1938), pp. 257–348.	1938	3	4	160-161	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Józef Pepis. Ein Verfahren der mathematischen Logik. The journal of symbolic logic, vol. 3 (1938), pp. 61–76.	1938	3	4	161-162	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	Emanuele Abita. Compatibilità degli assiomi della logica. Esercitazioni matematiche, ser. 2 vol. 10 (1937), pp. 86–108.	1938	3	4	162-162	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Gr. C. Moisil. Sur le mode problématique. Comptes rendus des séances de l'Académie des Sciences de Roumanie, vol. 2 (1937–1938), pp. 101–103.	1938	3	4	162-162	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Karl Dürr. Aussagenlogik im Mittelalter. Erkenntnis, vol. 7 no. 3 (1938), pp. 160–168.	1938	3	4	162-162	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Haskell B. Curry	Paul Bernays. Logical calculus. Notes on lectures at the Institute for Advanced Study 1935–36, prepared with the assistance of F. A. Ficken. Mimeographed. Institute for Advanced Study, Princeton, N. J., 1936, 125 pp.	1938	3	4	162-163	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Witold Wilkosz. Remarque sur la notion de la définition conditionnelle de Peano. Annales de la Société Polonaise de Mathématique, vol. 16 (for 1937, pub. 1938), pp. 176–178.	1938	3	4	163-163	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	C. West Churchman. On finite and infinite modal systems. The journal of symbolic logic, vol. 3 (1938), pp. 77–82.	1938	3	4	163-164	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Paul Henle	Carl G. Hempel. Ein System verallgemeinerter Negationen. Travaux du IX e Congrès International de Philosophie, VI Logique et mathématiques, Actualités scientifiques et industrielles 535, Hermann et C ie , Paris1937, pp. 26–32.	1938	3	4	164-164	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
